data,ano,mes,regiao,bioma,focos_observados
2025-01-27,2025,1,Centro-Oeste,Mata Atlântica,8
2025-01-27,2025,1,Nordeste,Mata Atlântica,82
2025-01-27,2025,1,Sudeste,Mata Atlântica,63
2025-01-27,2025,1,Sul,Mata Atlântica,14
2025-01-27,2025,1,Sul,Pampa,6
2025-01-27,2025,1,Centro-Oeste,Pantanal,10
2025-01-28,2025,1,Centro-Oeste,Amazônia,340
2025-01-28,2025,1,Nordeste,Amazônia,40
2025-01-28,2025,1,Norte,Amazônia,514
2025-01-28,2025,1,Nordeste,Caatinga,330
2025-01-28,2025,1,Sudeste,Caatinga,4
2025-01-28,2025,1,Centro-Oeste,Cerrado,255
2025-01-28,2025,1,Nordeste,Cerrado,223
2025-01-28,2025,1,Norte,Cerrado,53
2025-01-28,2025,1,Sudeste,Cerrado,31
2025-01-28,2025,1,Sul,Cerrado,1
2025-01-28,2025,1,Centro-Oeste,Mata Atlântica,1
2025-01-28,2025,1,Nordeste,Mata Atlântica,105
2025-01-28,2025,1,Sudeste,Mata Atlântica,35
2025-01-28,2025,1,Sul,Mata Atlântica,24
2025-01-28,2025,1,Sul,Pampa,23
2025-01-28,2025,1,Centro-Oeste,Pantanal,71
2025-01-29,2025,1,Centro-Oeste,Amazônia,297
2025-01-29,2025,1,Nordeste,Amazônia,66
2025-01-29,2025,1,Norte,Amazônia,412
2025-01-29,2025,1,Nordeste,Caatinga,369
2025-01-29,2025,1,Sudeste,Caatinga,5
2025-01-29,2025,1,Centro-Oeste,Cerrado,321
2025-01-29,2025,1,Nordeste,Cerrado,356
2025-01-29,2025,1,Norte,Cerrado,121
2025-01-29,2025,1,Sudeste,Cerrado,28
2025-01-29,2025,1,Nordeste,Mata Atlântica,86
2025-01-29,2025,1,Sudeste,Mata Atlântica,43
2025-01-29,2025,1,Sul,Mata Atlântica,15
2025-01-29,2025,1,Centro-Oeste,Pantanal,28
2025-01-30,2025,1,Centro-Oeste,Amazônia,47
2025-01-30,2025,1,Nordeste,Amazônia,9
2025-01-30,2025,1,Norte,Amazônia,393
2025-01-30,2025,1,Nordeste,Caatinga,176
2025-01-30,2025,1,Centro-Oeste,Cerrado,92
2025-01-30,2025,1,Nordeste,Cerrado,263
2025-01-30,2025,1,Norte,Cerrado,5
2025-01-30,2025,1,Sudeste,Cerrado,9
2025-01-30,2025,1,Sul,Cerrado,1
2025-01-30,2025,1,Centro-Oeste,Mata Atlântica,17
2025-01-30,2025,1,Nordeste,Mata Atlântica,152
2025-01-30,2025,1,Sudeste,Mata Atlântica,54
2025-01-30,2025,1,Sul,Mata Atlântica,10
2025-01-30,2025,1,Sul,Pampa,1
2025-01-30,2025,1,Centro-Oeste,Pantanal,16
2025-01-31,2025,1,Centro-Oeste,Amazônia,47
2025-01-31,2025,1,Nordeste,Amazônia,9
2025-01-31,2025,1,Norte,Amazônia,191
2025-01-31,2025,1,Nordeste,Caatinga,484
2025-01-31,2025,1,Centro-Oeste,Cerrado,30
2025-01-31,2025,1,Nordeste,Cerrado,96
2025-01-31,2025,1,Norte,Cerrado,9
2025-01-31,2025,1,Sudeste,Cerrado,28
2025-01-31,2025,1,Centro-Oeste,Mata Atlântica,3
2025-01-31,2025,1,Nordeste,Mata Atlântica,240
2025-01-31,2025,1,Sudeste,Mata Atlântica,69
2025-01-31,2025,1,Sul,Mata Atlântica,11
2025-01-31,2025,1,Sul,Pampa,14
2025-01-31,2025,1,Centro-Oeste,Pantanal,12
2025-02-01,2025,2,Centro-Oeste,Amazônia,24
2025-02-01,2025,2,Norte,Amazônia,317
2025-02-01,2025,2,Nordeste,Caatinga,270
2025-02-01,2025,2,Centro-Oeste,Cerrado,40
2025-02-01,2025,2,Nordeste,Cerrado,20
2025-02-01,2025,2,Norte,Cerrado,10
2025-02-01,2025,2,Sudeste,Cerrado,5
2025-02-01,2025,2,Centro-Oeste,Mata Atlântica,5
2025-02-01,2025,2,Nordeste,Mata Atlântica,127
2025-02-01,2025,2,Sudeste,Mata Atlântica,49
2025-02-01,2025,2,Sul,Mata Atlântica,22
2025-02-01,2025,2,Sul,Pampa,34
2025-02-01,2025,2,Centro-Oeste,Pantanal,4
2025-02-02,2025,2,Centro-Oeste,Amazônia,1
2025-02-02,2025,2,Nordeste,Amazônia,2
2025-02-02,2025,2,Norte,Amazônia,546
2025-02-02,2025,2,Nordeste,Caatinga,253
2025-02-02,2025,2,Centro-Oeste,Cerrado,38
2025-02-02,2025,2,Nordeste,Cerrado,5
2025-02-02,2025,2,Sudeste,Cerrado,1
2025-02-02,2025,2,Centro-Oeste,Mata Atlântica,22
2025-02-02,2025,2,Nordeste,Mata Atlântica,173
2025-02-02,2025,2,Sudeste,Mata Atlântica,77
2025-02-02,2025,2,Sul,Mata Atlântica,28
2025-02-02,2025,2,Sul,Pampa,39
2025-02-02,2025,2,Centro-Oeste,Pantanal,8
2025-02-03,2025,2,Centro-Oeste,Amazônia,3
2025-02-03,2025,2,Nordeste,Amazônia,1
2025-02-03,2025,2,Norte,Amazônia,262
2025-02-03,2025,2,Nordeste,Caatinga,445
2025-02-03,2025,2,Centro-Oeste,Cerrado,50
2025-02-03,2025,2,Nordeste,Cerrado,56
2025-02-03,2025,2,Norte,Cerrado,7
2025-02-03,2025,2,Sudeste,Cerrado,2
2025-02-03,2025,2,Centro-Oeste,Mata Atlântica,86
2025-02-03,2025,2,Nordeste,Mata Atlântica,214
2025-02-03,2025,2,Sudeste,Mata Atlântica,96
2025-02-03,2025,2,Sul,Mata Atlântica,90
2025-02-03,2025,2,Sul,Pampa,26
2025-02-03,2025,2,Centro-Oeste,Pantanal,4
2025-02-04,2025,2,Centro-Oeste,Amazônia,29
2025-02-04,2025,2,Nordeste,Amazônia,2
2025-02-04,2025,2,Norte,Amazônia,190
2025-02-04,2025,2,Nordeste,Caatinga,397
2025-02-04,2025,2,Sudeste,Caatinga,4
2025-02-04,2025,2,Centro-Oeste,Cerrado,120
2025-02-04,2025,2,Nordeste,Cerrado,305
2025-02-04,2025,2,Norte,Cerrado,9
2025-02-04,2025,2,Sudeste,Cerrado,43
2025-02-04,2025,2,Centro-Oeste,Mata Atlântica,61
2025-02-04,2025,2,Nordeste,Mata Atlântica,113
